sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,bundler_initial,bundler_mode,categoryid,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,demo_product,description,enable_googlecheckout,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,michel_code,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,scott_code,selos_code,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,stamperija_code,stamp_continent,stamp_country,stamp_date,stamp_group,stamp_group1,stamp_group2,stamp_group3,stamp_product_type,stamp_specialoffers,stamp_year,status,tax_class_id,thumbnail,thumbnail_label,unknown_code,updated_at,url_key,url_path,visibility,weight,yvert_code,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
NIG16602a,,Default,grouped,NIGER 21 12 2016 - Code: NIG16601a-NIG16613b,Stamperija,base,,Įjungta visi,,,,,2017-02-02 09:54:42,,,,,,,1,,,0,/N/I/NIG16602a_1.jpg,,,,,,,,,,,,Prehistoric water animals,,,Block after Info Column,,,0,,,Prehistoric water animals (Kronosaurus; Deinosuchus; Albertosaurus; Dunkleosteus terrelli; Leedsichthys),/N/I/NIG16602a_1.jpg,,,,,NIG16602a,Africa,NIGER,,Fauna - All others,Fauna - Dinosaurs,Fauna - Fish,,,,2016,1,,/N/I/NIG16602a_1.jpg,,,2017-02-02 10:07:29,prehistoric-water-animals,,4,,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,NIG16602a-Perforated,,,,,,,,,,88,/N/I/NIG16602a.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIG16602a-Imperforated,,,,,,,,,,88,/N/I/NIG16602a_1.jpg,,2,0
NIG16602a-Perforated,,Default,simple,NIGER 21 12 2016 - Code: NIG16601a-NIG16613b,Stamperija,base,,,,,,,2017-02-02 09:54:43,,,,,,,1,,,0,,,,,,,,,,,,,Prehistoric water animals,,,Block after Info Column,,5.1,0,,,Prehistoric water animals (Kronosaurus; Deinosuchus; Albertosaurus; Dunkleosteus terrelli; Leedsichthys),,,,,,NIG16602a,Africa,NIGER,,Fauna - All others,Fauna - Dinosaurs,Fauna - Fish,,Perforated,,2016,1,2,,,,2017-02-02 10:07:30,prehistoric-water-animals,,2,2,,1385,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,1,0,1,0,0,NIG16602a-Perforated12,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIG16602a-Perforated19694,,,,,,,,,,,,,,,,,,,,
NIG16602a-Perforated12,,Default,bundle,NIGER 21 12 2016 - Code: NIG16601a-NIG16613b,Stamperija,base,,,,,,,2017-02-02 09:54:43,,,,,,,1,,,1,,,,,,,,,,,,,Prehistoric water animals,,,Block after Info Column,,7.6,1,,,Prehistoric water animals (Kronosaurus; Deinosuchus; Albertosaurus; Dunkleosteus terrelli; Leedsichthys),,,,,,NIG16602a,Africa,NIGER,,Fauna - All others,Fauna - Dinosaurs,Fauna - Fish,,FDC,,2016,1,2,,,,2017-02-02 10:07:30,prehistoric-water-animals,,2,,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
NIG16602a-Perforated19694,,Default,bundle,NIGER 21 12 2016 - Code: NIG16601a-NIG16613b,Stamperija,base,,,,,,,2017-02-02 09:54:43,,,,,,,1,,,1,,,,,,,,,,,,,Prehistoric water animals,,,Block after Info Column,,5.1,1,,,Prehistoric water animals (Kronosaurus; Deinosuchus; Albertosaurus; Dunkleosteus terrelli; Leedsichthys),,,,,,NIG16602a,Africa,NIGER,,Fauna - All others,Fauna - Dinosaurs,Fauna - Fish,,CTO,,2016,1,2,,,,2017-02-02 10:07:30,prehistoric-water-animals,,1,,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
NIG16602a-Imperforated,,Default,simple,NIGER 21 12 2016 - Code: NIG16601a-NIG16613b,Stamperija,base,,,,,,,2017-02-02 09:54:43,,,,,,,1,,,0,,,,,,,,,,,,,Prehistoric water animals,,,Block after Info Column,,15,0,,,Prehistoric water animals (Kronosaurus; Deinosuchus; Albertosaurus; Dunkleosteus terrelli; Leedsichthys),,,,,,NIG16602a,Africa,NIGER,,Fauna - All others,Fauna - Dinosaurs,Fauna - Fish,,Imperforated,,2016,1,2,,,,2017-02-02 10:07:30,prehistoric-water-animals,,2,2,,50,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,NIG16602a-Imperforated12786,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIG16602a-Imperforated35995,,,,,,,,,,,,,,,,,,,,
NIG16602a-Imperforated12786,,Default,bundle,NIGER 21 12 2016 - Code: NIG16601a-NIG16613b,Stamperija,base,,,,,,,2017-02-02 09:54:43,,,,,,,1,,,1,,,,,,,,,,,,,Prehistoric water animals,,,Block after Info Column,,17.5,1,,,Prehistoric water animals (Kronosaurus; Deinosuchus; Albertosaurus; Dunkleosteus terrelli; Leedsichthys),,,,,,NIG16602a,Africa,NIGER,,Fauna - All others,Fauna - Dinosaurs,Fauna - Fish,,FDC Imperf.,,2016,1,2,,,,2017-02-02 10:07:30,prehistoric-water-animals,,2,,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
NIG16602a-Imperforated35995,,Default,bundle,NIGER 21 12 2016 - Code: NIG16601a-NIG16613b,Stamperija,base,,,,,,,2017-02-02 09:54:43,,,,,,,1,,,1,,,,,,,,,,,,,Prehistoric water animals,,,Block after Info Column,,15,1,,,Prehistoric water animals (Kronosaurus; Deinosuchus; Albertosaurus; Dunkleosteus terrelli; Leedsichthys),,,,,,NIG16602a,Africa,NIGER,,Fauna - All others,Fauna - Dinosaurs,Fauna - Fish,,CTO Imperf.,,2016,1,2,,,,2017-02-02 10:07:30,prehistoric-water-animals,,1,,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
NIG16602b,,Default,grouped,NIGER 21 12 2016 - Code: NIG16601a-NIG16613b,Stamperija,base,,Įjungta visi,,,,,2017-02-02 09:54:43,,,,,,,1,,,0,/N/I/NIG16602b_1.jpg,,,,,,,,,,,,Prehistoric water animals,,,Block after Info Column,,,0,,,"Prehistoric water animals (Cretoxyrhina mantelli, Mosasaur)",/N/I/NIG16602b_1.jpg,,,,,NIG16602b,Africa,NIGER,,Fauna - All others,Fauna - Dinosaurs,Fauna - Sharks,,,,2016,1,,/N/I/NIG16602b_1.jpg,,,2017-02-02 10:07:31,prehistoric-water-animals,,4,,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,NIG16602b-Perforated,,,,,,,,,,88,/N/I/NIG16602b.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIG16602b-Imperforated,,,,,,,,,,88,/N/I/NIG16602b_1.jpg,,2,0
NIG16602b-Perforated,,Default,simple,NIGER 21 12 2016 - Code: NIG16601a-NIG16613b,Stamperija,base,,,,,,,2017-02-02 09:54:44,,,,,,,1,,,0,,,,,,,,,,,,,Prehistoric water animals,,,Block after Info Column,,5.1,0,,,"Prehistoric water animals (Cretoxyrhina mantelli, Mosasaur)",,,,,,NIG16602b,Africa,NIGER,,Fauna - All others,Fauna - Dinosaurs,Fauna - Sharks,,Perforated,,2016,1,2,,,,2017-02-02 10:07:31,prehistoric-water-animals,,2,2,,1386,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,1,0,1,0,0,NIG16602b-Perforated12,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIG16602b-Perforated19694,,,,,,,,,,,,,,,,,,,,
NIG16602b-Perforated12,,Default,bundle,NIGER 21 12 2016 - Code: NIG16601a-NIG16613b,Stamperija,base,,,,,,,2017-02-02 09:54:44,,,,,,,1,,,1,,,,,,,,,,,,,Prehistoric water animals,,,Block after Info Column,,7.6,1,,,"Prehistoric water animals (Cretoxyrhina mantelli, Mosasaur)",,,,,,NIG16602b,Africa,NIGER,,Fauna - All others,Fauna - Dinosaurs,Fauna - Sharks,,FDC,,2016,1,2,,,,2017-02-02 10:07:32,prehistoric-water-animals,,2,,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
NIG16602b-Perforated19694,,Default,bundle,NIGER 21 12 2016 - Code: NIG16601a-NIG16613b,Stamperija,base,,,,,,,2017-02-02 09:54:44,,,,,,,1,,,1,,,,,,,,,,,,,Prehistoric water animals,,,Block after Info Column,,5.1,1,,,"Prehistoric water animals (Cretoxyrhina mantelli, Mosasaur)",,,,,,NIG16602b,Africa,NIGER,,Fauna - All others,Fauna - Dinosaurs,Fauna - Sharks,,CTO,,2016,1,2,,,,2017-02-02 10:07:32,prehistoric-water-animals,,1,,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
NIG16602b-Imperforated,,Default,simple,NIGER 21 12 2016 - Code: NIG16601a-NIG16613b,Stamperija,base,,,,,,,2017-02-02 09:54:44,,,,,,,1,,,0,,,,,,,,,,,,,Prehistoric water animals,,,Block after Info Column,,15,0,,,"Prehistoric water animals (Cretoxyrhina mantelli, Mosasaur)",,,,,,NIG16602b,Africa,NIGER,,Fauna - All others,Fauna - Dinosaurs,Fauna - Sharks,,Imperforated,,2016,1,2,,,,2017-02-02 10:07:32,prehistoric-water-animals,,2,2,,50,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,NIG16602b-Imperforated12786,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIG16602b-Imperforated35995,,,,,,,,,,,,,,,,,,,,
NIG16602b-Imperforated12786,,Default,bundle,NIGER 21 12 2016 - Code: NIG16601a-NIG16613b,Stamperija,base,,,,,,,2017-02-02 09:54:44,,,,,,,1,,,1,,,,,,,,,,,,,Prehistoric water animals,,,Block after Info Column,,17.5,1,,,"Prehistoric water animals (Cretoxyrhina mantelli, Mosasaur)",,,,,,NIG16602b,Africa,NIGER,,Fauna - All others,Fauna - Dinosaurs,Fauna - Sharks,,FDC Imperf.,,2016,1,2,,,,2017-02-02 10:07:32,prehistoric-water-animals,,2,,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
NIG16602b-Imperforated35995,,Default,bundle,NIGER 21 12 2016 - Code: NIG16601a-NIG16613b,Stamperija,base,,,,,,,2017-02-02 09:54:44,,,,,,,1,,,1,,,,,,,,,,,,,Prehistoric water animals,,,Block after Info Column,,15,1,,,"Prehistoric water animals (Cretoxyrhina mantelli, Mosasaur)",,,,,,NIG16602b,Africa,NIGER,,Fauna - All others,Fauna - Dinosaurs,Fauna - Sharks,,CTO Imperf.,,2016,1,2,,,,2017-02-02 10:07:32,prehistoric-water-animals,,1,,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
NIG16603a,,Default,grouped,NIGER 21 12 2016 - Code: NIG16601a-NIG16613b,Stamperija,base,,Įjungta visi,,,,,2017-02-02 09:54:44,,,,,,,1,,,0,/N/I/NIG16603a_1.jpg,,,,,,,,,,,,Fire engines,,,Block after Info Column,,,0,,,"Fire engines (COMMER Type A, Great Britain; Oshkosh T-1500 ARFF, Anguilla; Rosenbauer panther, Newcastle, Great Britain; Fire truck Bulldog 4X4, USA)",/N/I/NIG16603a_1.jpg,,,,,NIG16603a,Africa,NIGER,,Transports - Fire engines,Transports - Planes,,,,,2016,1,,/N/I/NIG16603a_1.jpg,,,2017-02-02 10:07:32,fire-engines,,4,,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,NIG16603a-Perforated,,,,,,,,,,88,/N/I/NIG16603a.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIG16603a-Imperforated,,,,,,,,,,88,/N/I/NIG16603a_1.jpg,,2,0
